 ,Area,Mean,Min,Max,X,Y
143,0.000,122,122,122,984.283,0.655
144,0.000,122,122,122,976.983,0.509
145,0.000,122,122,122,994.017,0.731
146,0.000,122,122,122,996.450,0.823
147,0.000,122,122,122,1008.617,0.900
148,0.000,122,122,122,1013.483,0.969
149,0.000,122,122,122,1023.217,1.061
150,0.000,122,122,122,1032.950,1.184
151,0.000,122,122,122,1020.783,1.092
152,0.000,122,122,122,1049.983,1.246
153,0.000,124,124,124,1059.717,1.292
154,0.000,122,122,122,1071.883,1.361
155,0.000,122,122,122,1091.350,1.445
156,0.000,188,188,188,1105.950,1.499
157,0.000,122,122,122,1115.683,1.583
158,0.000,122,122,122,1125.417,1.622
159,0.000,122,122,122,1079.183,1.407
160,0.000,122,122,122,1132.717,1.537
161,0.000,122,122,122,1137.583,1.422
162,0.000,122,122,122,1144.883,1.307
163,0.000,122,122,122,1144.883,1.246
164,0.000,122,122,122,1154.617,1.154
165,0.000,122,122,122,1159.483,1.107
166,0.000,122,122,122,1159.483,1.031
167,0.000,122,122,122,1169.217,0.931
168,0.000,122,122,122,1176.517,0.854
169,0.000,122,122,122,1181.383,0.762
170,0.000,122,122,122,1183.817,0.739
171,0.000,122,122,122,1191.117,0.678
172,0.000,125,125,125,1191.117,0.608
173,0.000,122,122,122,1203.283,0.516
174,0.000,122,122,122,1217.883,0.440
175,0.000,122,122,122,1220.317,0.386
176,0.000,160,160,160,1220.317,0.324
177,0.000,122,122,122,1232.483,0.271
178,0.000,153,153,153,1249.517,0.225
179,0.000,212,212,212,1251.950,0.217
180,0.000,212,212,212,1251.950,0.217
181,0.000,125,125,125,1251.950,0.202
182,0.000,122,122,122,1256.817,0.132
183,0.000,122,122,122,1264.117,0.109
184,0.000,122,122,122,1268.983,0.071
185,0.000,122,122,122,1276.283,0.048
186,0.000,122,122,122,1288.450,0.017
187,0.000,122,122,122,1300.617,-0.029
188,0.000,0,0,0,1305.483,-0.021
189,0.000,0,0,0,1305.483,0.040
190,0.000,61,61,61,1310.350,0.117
191,0.000,122,122,122,1312.783,0.179
192,0.000,173,173,173,1312.783,0.271
193,0.000,228,228,228,1312.783,0.301
194,0.000,122,122,122,1324.950,0.393
195,0.000,122,122,122,1329.817,0.524
196,0.000,122,122,122,1339.550,0.647
197,0.000,122,122,122,1339.550,0.724
198,0.000,122,122,122,1351.717,0.839
199,0.000,122,122,122,1359.017,0.992
200,0.000,121,121,121,1359.017,1.092
201,0.000,122,122,122,1356.583,0.916
202,0.000,122,122,122,1346.850,0.785
203,0.000,122,122,122,1371.183,1.177
204,0.000,122,122,122,1376.050,1.223
205,0.000,122,122,122,1376.050,1.269
206,0.000,122,122,122,1378.483,1.345
207,0.000,118,118,118,1378.483,1.376
208,0.000,122,122,122,1388.217,1.438
209,0.000,122,122,122,1400.383,1.553
210,0.000,122,122,122,1414.983,1.630
211,0.000,122,122,122,1427.150,1.714
212,0.000,171,171,171,1439.317,1.768
213,0.000,122,122,122,1451.483,1.829
214,0.000,122,122,122,1466.083,1.891
215,0.000,122,122,122,1478.250,1.921
216,0.000,122,122,122,1487.983,1.937
217,0.000,122,122,122,1497.717,1.860
218,0.000,122,122,122,1507.450,1.768
219,0.000,122,122,122,1507.450,1.676
220,0.000,122,122,122,1517.183,1.583
